result,c1,c2,c3,c4,c5
Win,Lucian,Fizz,Vel'Koz,Sivir,Tahm Kench
Win,Jhin,Lulu,Singed,Camille,Tahm Kench
Win,Jhin,Xin Zhao,Twisted Fate,Irelia,Alistar
Win,Renekton,Graves,LeBlanc,Xayah,Lucian
Win,Janna,Camille,Rengar,Corki,Lucian
Win,Xin Zhao,Camille,Thresh,Fizz,Lucian
Win,Tahm Kench,Irelia,Graves,Singed,Ezreal
Win,Nocturne,Darius,Galio,Rakan,Kai'Sa
Win,Alistar,Zoe,Dr. Mundo,Graves,Camille
Win,Dr. Mundo,Alistar,Kai'Sa,Ryze,Camille
Win,Caitlyn,Gnar,Lissandra,Tahm Kench,Morgana
Win,Singed,Kai'Sa,Karthus,Graves,Morgana
Win,Xin Zhao,Cassiopeia,Kai'Sa,Nautilus,Irelia
Win,Jarvan IV,Amumu,Caitlyn,Ornn,Brand
Win,Graves,Soraka,Jhin,Gangplank,Kassadin
Win,Camille,Lissandra,Aatrox,Kha'Zix,Xayah
Win,Yasuo,Graves,Draven,Nami,Gangplank
Win,Lee Sin,Soraka,Kennen,Jhin,Sion
Win,Alistar,Aurelion Sol,Ezreal,Xin Zhao,Xayah
Win,Alistar,Kha'Zix,Jayce,Fizz,Xayah
Win,Fiddlesticks,Yasuo,Nidalee,Lucian,Swain
Win,Vladimir,Kayn,Lucian,Lulu,Swain
Win,Galio,Ashe,Amumu,Sion,Lux
Win,Nidalee,Vayne,Fiora,Soraka,Lux
Win,Vayne,Zoe,Lulu,Tristana,Nocturne
Win,Gangplank,Taliyah,Tahm Kench,Galio,Irelia
Win,Kai'Sa,Janna,Nocturne,Jax,Lulu
Win,Taliyah,Gangplank,Lucian,Rakan,Vladimir
Win,Camille,Ezreal,Poppy,Karma,Vladimir
Win,Thresh,Lucian,Fiora,Lulu,Ekko
Win,Camille,Dr. Mundo,Xayah,Rakan,Alistar
Win,Camille,Cassiopeia,Ezreal,Graves,Alistar
Win,Xin Zhao,Soraka,Irelia,Jax,Lucian
Win,Jayce,Fiora,Lee Sin,Kai'Sa,Alistar
Win,Caitlyn,Camille,Jayce,Morgana,Taliyah
