name,champ,cs,kda,kill,death,assist,winratio,play
DWGShowMaker,Zoe,CS 202.3 (8.0),3.67:1,7.0,3.8,6.8,59%,92
DWGShowMaker,Katarina,CS 206.6 (7.7),4.15:1,10.4,4.0,6.2,73%,67
DWGShowMaker,Cassiopeia,CS 201.8 (8.2),2.86:1,6.5,4.1,5.3,63%,63
DWGShowMaker,Yasuo,CS 231.5 (8.4),2.77:1,8.2,5.3,6.5,55%,56
DWGShowMaker,Syndra,CS 245.7 (8.8),3.74:1,6.4,3.7,7.5,63%,54
DWGShowMaker,Taliyah,CS 218.4 (8.0),2.94:1,6.5,4.5,6.8,60%,42
DWGShowMaker,Azir,CS 220.3 (8.4),2.92:1,5.3,3.9,6.3,50%,36
KTUcal,Ryze,CS 228.8 (9.4),2.27:1,5.3,4.7,5.4,51%,75
KTUcal,Viktor,CS 250.1 (9.2),2.65:1,6.4,4.5,5.7,56%,50
KTUcal,Irelia,CS 216.1 (9.0),2.56:1,8.0,4.8,4.4,69%,48
KTUcal,Twisted Fate,CS 215.4 (9.1),3.58:1,4.7,3.1,6.5,61%,38
KTUcal,Taliyah,CS 200.5 (8.4),3.15:1,6.3,4.3,7.2,58%,31
KTUcal,LeBlanc,CS 202.4 (8.0),2.91:1,6.7,4.1,5.1,57%,30
KTUcal,Lulu,CS 166.1 (7.8),3.51:1,3.4,2.9,6.8,70%,27
SKTT1Bang,Ezreal,CS 230.0 (8.5),4.19:1,5.2,3.0,7.4,57%,141
SKTT1Bang,Tristana,CS 236.3 (8.8),4.54:1,6.1,2.8,6.4,58%,62
SKTT1Bang,Xayah,CS 267.1 (9.0),3.69:1,6.7,3.6,6.5,59%,39
SKTT1Bang,Caitlyn,CS 233.5 (8.9),3.41:1,4.6,3.0,5.5,57%,35
SKTT1Bang,Varus,CS 266.3 (8.6),3.14:1,5.7,4.4,8.3,52%,27
SKTT1Bang,Vladimir,CS 217.0 (7.9),3.29:1,5.6,4.1,7.9,60%,25
SKTT1Bang,Swain,CS 165.2 (6.6),3.09:1,4.4,4.4,9.1,45%,20
zzzzzzzzzzzz1,Ryze,CS 202.0 (8.4),2.91:1,5.1,3.8,6.0,54%,180
zzzzzzzzzzzz1,Zoe,CS 181.1 (7.2),2.84:1,6.0,4.5,6.9,54%,102
zzzzzzzzzzzz1,LeBlanc,CS 179.4 (7.4),3.73:1,7.4,3.5,5.6,59%,80
zzzzzzzzzzzz1,Talon,CS 203.7 (8.2),2.37:1,7.8,5.7,5.6,56%,64
zzzzzzzzzzzz1,Azir,CS 214.2 (8.7),3.05:1,5.0,3.1,4.6,61%,41
zzzzzzzzzzzz1,Irelia,CS 188.3 (7.6),2.30:1,6.7,5.3,5.5,58%,40
zzzzzzzzzzzz1,Vladimir,CS 181.1 (7.5),2.30:1,5.7,4.7,5.2,44%,32
누우운사람,Zoe,CS 216.2 (8.2),2.44:1,7.5,5.5,6.0,54%,82
누우운사람,Ryze,CS 253.9 (9.2),2.69:1,7.9,5.3,6.2,54%,80
누우운사람,Azir,CS 253.4 (9.4),2.72:1,6.0,4.5,6.3,63%,71
누우운사람,Vladimir,CS 224.0 (8.3),2.18:1,7.0,5.7,5.5,61%,44
누우운사람,Taliyah,CS 241.9 (8.8),3.04:1,7.8,5.2,8.0,59%,34
누우운사람,LeBlanc,CS 178.8 (7.6),2.93:1,7.0,4.5,6.1,66%,32
누우운사람,Jayce,CS 211.9 (7.8),2.64:1,9.1,6.1,7.1,66%,29
츠코파이,Camille,CS 143.8 (5.6),3.49:1,7.1,3.9,6.6,56%,48
츠코파이,Sejuani,CS 130.1 (5.1),5.66:1,4.7,2.8,11.4,67%,39
츠코파이,Kha'Zix,CS 151.3 (5.4),4.40:1,7.8,3.1,5.9,69%,32
츠코파이,Olaf,CS 147.2 (5.7),4.09:1,6.9,3.3,6.5,72%,25
츠코파이,Xin Zhao,CS 133.2 (5.3),3.21:1,6.7,4.2,6.7,65%,23
츠코파이,Lee Sin,CS 129.6 (5.0),3.90:1,6.6,3.8,8.0,57%,21
츠코파이,Taliyah,CS 145.7 (5.5),3.81:1,8.3,4.4,8.4,53%,19
DWGNuguri,Camille,CS 206.3 (8.3),2.33:1,6.0,4.7,5.0,64%,61
DWGNuguri,Gangplank,CS 224.7 (8.9),2.42:1,4.3,4.3,6.1,62%,55
DWGNuguri,Vladimir,CS 239.7 (8.9),2.22:1,4.6,4.3,4.9,48%,42
DWGNuguri,Fiora,CS 235.7 (8.8),1.78:1,4.9,5.0,4.1,41%,37
DWGNuguri,Jax,CS 211.1 (8.7),2.12:1,5.8,4.5,3.7,63%,32
DWGNuguri,Ryze,CS 255.0 (9.4),1.98:1,4.9,4.8,4.6,66%,29
DWGNuguri,Swain,CS 198.8 (8.4),2.02:1,4.1,4.6,5.1,48%,27
ZIBISUP,Kai'Sa,CS 210.4 (8.6),2.66:1,7.0,4.7,5.5,57%,61
ZIBISUP,Ezreal,CS 193.1 (7.8),2.83:1,5.3,4.3,6.9,59%,56
ZIBISUP,Thresh,CS 15.7 (0.6),3.86:1,1.7,3.7,12.7,54%,46
ZIBISUP,Tahm Kench,CS 52.7 (2.1),3.06:1,1.5,3.7,9.8,56%,39
ZIBISUP,Jhin,CS 204.7 (8.3),2.95:1,3.9,3.7,7.1,58%,36
ZIBISUP,Leona,CS 44.0 (1.8),2.98:1,1.8,4.8,12.5,65%,34
ZIBISUP,Rakan,CS 11.9 (0.5),4.20:1,1.6,3.1,11.6,62%,34
KZPeanut,Lee Sin,CS 139.7 (5.1),3.32:1,5.9,4.4,8.7,63%,68
KZPeanut,Nidalee,CS 166.4 (6.4),3.04:1,5.9,4.2,6.8,58%,66
KZPeanut,Sejuani,CS 145.7 (5.5),4.25:1,3.5,3.1,9.9,51%,65
KZPeanut,Rengar,CS 156.0 (5.9),2.36:1,6.1,5.0,5.6,58%,52
KZPeanut,Skarner,CS 129.3 (5.3),4.01:1,3.1,3.1,9.5,63%,51
KZPeanut,Kha'Zix,CS 146.8 (5.5),3.10:1,6.1,3.9,6.0,40%,50
KZPeanut,Camille,CS 125.5 (4.8),2.22:1,5.3,5.8,7.5,59%,37
퍼그개졸귀,Gangplank,CS 216.2 (8.1),3.04:1,3.9,3.4,6.6,52%,87
퍼그개졸귀,Singed,CS 193.3 (7.9),3.59:1,3.9,3.4,8.3,60%,75
퍼그개졸귀,Vladimir,CS 191.3 (7.7),3.15:1,4.0,2.9,5.1,56%,61
퍼그개졸귀,Darius,CS 196.1 (7.6),2.62:1,5.8,4.2,5.2,55%,58
퍼그개졸귀,Camille,CS 185.4 (7.4),2.98:1,5.8,3.7,5.3,64%,53
퍼그개졸귀,Aatrox,CS 190.3 (8.3),3.03:1,6.0,3.6,4.9,55%,29
퍼그개졸귀,Swain,CS 182.3 (7.5),4.14:1,4.6,2.9,7.3,67%,27
Buterfly,Alistar,CS 37.0 (1.6),3.15:1,1.7,3.9,10.6,57%,91
Buterfly,Rakan,CS 11.4 (0.5),2.80:1,1.8,4.7,11.3,45%,62
Buterfly,Pyke,CS 40.0 (1.7),2.86:1,3.8,3.8,6.9,47%,55
Buterfly,Shen,CS 50.1 (2.0),4.21:1,2.5,3.5,12.2,72%,53
Buterfly,Gragas,CS 41.5 (1.7),2.60:1,2.6,4.5,9.2,49%,51
Buterfly,Morgana,CS 21.8 (0.9),3.11:1,2.4,4.1,10.5,49%,49
Buterfly,Fiddlesticks,CS 26.4 (1.1),2.65:1,3.0,5.1,10.4,55%,40
SKTT1Le0,Varus,CS 243.5 (9.1),2.51:1,5.8,4.5,5.6,54%,197
SKTT1Le0,Ezreal,CS 220.8 (8.6),2.64:1,4.9,4.3,6.6,50%,171
SKTT1Le0,Caitlyn,CS 242.0 (9.1),2.50:1,5.3,4.5,6.1,59%,103
SKTT1Le0,Xayah,CS 234.5 (8.8),2.50:1,5.3,4.8,6.6,49%,57
SKTT1Le0,Tristana,CS 203.6 (8.7),2.27:1,4.5,4.0,4.6,48%,54
SKTT1Le0,Lucian,CS 207.0 (8.6),2.96:1,5.2,3.8,6.1,70%,47
SKTT1Le0,Kog'Maw,CS 241.2 (8.8),2.56:1,6.0,4.8,6.2,47%,43
난질수없다,Camille,CS 127.2 (5.4),3.01:1,6.6,4.5,6.8,59%,39
난질수없다,Ezreal,CS 212.3 (8.4),2.42:1,3.9,3.6,4.7,48%,25
난질수없다,Olaf,CS 147.6 (5.6),3.40:1,5.3,3.5,6.6,65%,23
난질수없다,Sejuani,CS 141.6 (5.0),4.94:1,5.7,4.0,14.1,72%,18
난질수없다,LeBlanc,CS 177.4 (6.6),3.54:1,8.1,3.9,5.9,50%,18
난질수없다,Graves,CS 174.4 (6.5),3.73:1,7.2,3.7,6.6,71%,17
난질수없다,Kha'Zix,CS 134.4 (5.2),4.12:1,8.3,3.4,5.8,65%,17
Beproudofme,Talon,CS 226.7 (8.6),2.90:1,7.6,4.7,6.0,55%,119
Beproudofme,Galio,CS 233.0 (8.5),4.11:1,5.1,3.4,8.9,64%,106
Beproudofme,Vladimir,CS 232.0 (8.7),3.04:1,5.4,3.6,5.6,51%,77
Beproudofme,Soraka,CS 16.2 (0.6),3.26:1,1.2,4.4,13.1,57%,69
Beproudofme,Lulu,CS 193.8 (8.2),4.24:1,2.7,2.5,8.0,57%,67
Beproudofme,Cassiopeia,CS 237.4 (9.0),2.87:1,5.3,3.5,4.7,51%,47
Beproudofme,Vel'Koz,CS 221.6 (8.2),2.90:1,5.1,3.9,6.2,40%,42
