accountId,champId,avg_cs,avg_kda,avg_kill,avg_death,avg_assist,winratio,play_num
210574406,51,8.2,3.37,6.5,3.8,6.3,53,15
210574406,498,8.4,3.18,5.4,4.1,7.6,45,11
210574406,91,7.4,2.4,5.5,4.7,5.8,60,10
206360056,121,5.3,4.42,7.6,2.9,5.1,67,109
206360056,164,5.8,3.3,5.7,3.6,6,57,65
206360056,113,5.3,5.69,4,2.7,11.2,63,56
206360056,154,5.1,5.58,3.4,2.2,8.7,47,47
206360056,72,5.4,4.54,3.1,2.8,9.5,57,35
206360056,2,5.5,3.94,5.8,3.4,7.7,53,34
206360056,107,6,3.19,7.1,3.6,4.4,39,31
206452044,41,8.5,3.96,4.7,2.9,6.8,69,134
206452044,14,7.4,3.72,3,2.8,7.4,55,85
206452044,516,7.2,2.86,2.8,3.4,7,44,62
206452044,6,7.6,2.55,3.9,3.1,4,70,10
206452044,36,7.2,2.46,4.1,3.5,4.5,38,8
206452044,240,6.5,2.19,3.3,4.6,6.7,14,7
206452044,266,8.6,2.54,6.5,4,3.7,50,6
204613894,164,8,3.45,6,3.3,5.5,68,59
204613894,41,8.6,3.46,4.4,3.3,7,63,43
204613894,14,7.5,4.83,3.3,2.2,7.2,78,27
204613894,39,8.7,2.38,5.3,4.9,6.5,39,18
204613894,24,8,1.9,4.3,3.9,3.2,44,16
204613894,150,7.7,2.91,5.4,3.7,5.5,67,15
204613894,36,8.1,3.46,4,2.7,5.5,67,15
209283868,51,9.1,2.33,4.7,4.4,5.5,51,153
209283868,498,9.2,2.49,4.7,4.4,6.1,57,111
209283868,81,8.5,2.11,3.8,4.6,5.9,39,101
209283868,202,8.8,3.21,4.9,3.6,6.7,64,88
209283868,18,9,2.73,6,4.1,5.2,51,80
209283868,110,8.9,2.44,5,4.6,6.2,54,69
209283868,41,8.5,2.24,3.5,4.1,5.7,57,63
206772826,41,8.4,3.25,4.3,3.6,7.3,54,184
206772826,164,7.5,2.67,5.6,4.1,5.5,55,173
206772826,14,6.9,3.63,3,3.1,8.2,66,122
206772826,516,7,3.84,3.3,3,8.4,57,42
206772826,8,8.3,2.47,5,4.3,5.7,51,41
206772826,24,8,1.87,5.3,4.9,3.8,50,40
206772826,126,7.8,2.6,5.4,4.4,5.9,50,40
210167927,81,8.5,3.8,4.7,3,6.8,60,73
210167927,202,8.2,3.6,5.3,3.5,7.2,55,47
210167927,51,9,3.89,6.1,3.1,6,61,46
210167927,498,8.8,3.52,5.1,3.6,7.4,53,36
210167927,18,9,2.86,5.7,4.1,5.9,38,26
210167927,145,8.1,2.63,6,3.8,4,32,22
210167927,110,8.3,2.86,5.3,3.4,4.5,48,21
210168045,164,8.2,2.11,5.4,4.4,3.9,56,111
210168045,41,8.9,2.33,5.2,4.8,6,59,83
210168045,150,8.5,1.99,3.8,4.3,4.7,54,54
210168045,126,8.6,1.72,5,6,5.3,59,32
210168045,8,8.3,1.79,4.1,4.6,4.1,54,28
210168045,13,8.6,1.39,3.3,5,3.6,59,22
210168045,420,8.7,1.2,3.7,5.8,3.3,50,20
209834687,51,8.7,2.5,5,4.6,6.5,64,56
209834687,223,2,2.66,2,4.4,9.7,55,53
209834687,25,0.8,3.43,1.9,4.3,12.8,63,46
209834687,12,1.5,2.77,1.5,4.9,11.9,58,45
209834687,81,8.1,2.64,5.6,4.6,6.6,49,41
209834687,497,0.5,3.86,1.9,4.2,14.3,75,36
209834687,40,0.6,3.55,1.6,3.7,11.6,59,32
200621317,113,5.6,5.01,4.1,2.9,10.2,59,417
200621317,154,5.5,4.47,3.6,3,10,53,89
200621317,121,5.6,2.93,6.6,4.1,5.5,52,77
200621317,72,5.5,3.78,3.3,3,8.1,58,55
200621317,59,5.3,3.18,4.3,4.6,10.4,48,23
200621317,104,6.5,3.56,6.4,3.9,7.3,57,14
200621317,6,7.5,2.09,3.2,4.4,5.9,38,13
210168114,164,8.2,4.09,6.6,2.8,4.9,69,39
210168114,41,8.6,3.31,4.5,3.7,7.8,64,36
210168114,8,8.6,3.03,4.1,2.9,4.5,62,21
210168114,50,7.7,2,4.4,4.8,5.1,38,21
210168114,150,8.3,2.35,4.3,4.3,5.8,53,19
210168114,13,9,3.14,4.4,3.1,5.2,69,16
210168114,39,8,2.74,5.4,4.3,6.4,67,9
5797364,145,9.5,2.69,8.1,4.6,4.2,63,295
5797364,81,8.8,2.23,5.6,4.9,5.2,51,293
5797364,498,9.5,2.46,7.2,5.1,5.3,58,187
5797364,110,9.4,2.02,6,5.1,4.3,47,186
5797364,96,9,1.89,6.8,6.1,4.7,54,158
5797364,18,9.3,2.18,5.9,4.4,3.8,48,156
5797364,51,9.5,2.07,4.8,4.7,4.9,50,106
206247678,13,8.7,3.25,6.1,3.4,5.1,49,78
206247678,91,7.5,3.15,7.8,4.1,5.2,61,61
206247678,8,7.9,2.43,4,3.2,3.9,52,42
206247678,142,7.2,3.12,7.6,4.1,5.3,63,41
206247678,81,7.9,4.07,5.3,3,6.8,70,33
206247678,3,7.4,4.68,5.8,3.1,8.9,59,22
206247678,90,8.8,5.84,5.2,1.8,5.3,71,21
206948172,24,5.3,3.28,5.3,3.5,6.1,60,30
206948172,5,5.2,3.26,5.1,3.4,6.1,59,29
206948172,64,4.9,3.06,5,3.3,5.3,46,26
